,cluster_name,text
10458,2,不知道是不是血管瘤，红色有点突起颜色挺鲜艳
11406,0,应该也能导致发晕
13964,1,半个月了，当地医院看过，怀疑是血管瘤，下周要找专家看
8302,2,我想问成年人肝上长了血管瘤
12664,0,扩大范围切呢
4997,2,小孩，长在脖子右侧
4719,0,就厘米
13880,6,这是现在针对婴幼儿血管瘤最先进最有效的治疗方法了吗
7352,0,你加我微信，王艺诺
13806,0,脚的我是孕妇
6218,3,怎么加你微信呀
2425,2,胸前后背   眼皮大腿
11145,0,孩子这么小
14214,0,生完小孩，，，憋憋了很多
5341,11,"我想咨询""肌内血管瘤是怎么回事"""
12739,2,大腿后
235,0,有的时候和皮肤一样
13676,2,之前就是一直有点红，最近开始爆皮，不知道跟这个血管瘤有没有关系
3480,2,宝宝 乳头上
13562,0,弥漫性的
11412,2,外表没什么颜色
9208,0,凸起的血管瘤不是鲜红斑痣
5955,6,要怎么办
1580,2,头部和胸前
12698,2,是孩子，在胳膊上
467,2,小米粒大
2499,2,平的，两个红豆大点
4857,5,要是毛细血管瘤怎么办会消吗
2888,2,就是分部型的
3512,1,当地医生建议吃药，孩子太小不能手术
5774,16,这个麻药孩子会有什么反应
9747,1,没用这药时候 我家孩子从来没有这样过
9166,6,鲜红斑痣治疗方法
3738,2,出生四五天发现的，红色 4.5厘米
2210,2,红色、凸起
10851,0,专家
8431,2,是平的，脸上和颈部，大大小小几十个
10680,0,男成人52岁
7676,1,今天5天
13860,2,孩子，在头部
9068,2,和大米粒那么大
3588,2,男孩，两个月，在大母手指上
6802,2,头的后面
2764,2,女宝，暗红
8032,2,红色，现在有点突起
9363,7,那这个微创手术得全身麻醉吗
72,0,田紫鑫
2908,2,黑棕色 1.5*1.5
5690,3,你把你的微信号发给我，我加你
10630,2,红色，突出
7422,0,是表面
5773,11,想了解一下 我妈住院打几天针手背的血管红是怎么回事
56,1,刚做完一个月
9741,0,就是想问一下这个怎么做下去
10962,1,一年前长的
9343,6,该怎么办呢？
363,6,那要怎么治疗呢，激光打？
11215,4,怎么收费的？
3657,2,8岁女孩，眼角下方
11990,2,53岁，在左腹肠子附近
4689,6,血管瘤头部怎么治疗，
798,0,像记是的
10344,8,你是沈阳什么地方
4950,2,成年人，长在脑主干
9218,6,肝上有血管瘤怎么办
5474,2,现在还没突出来
7003,2,没有，头部面积就是小指甲大小，后背也就两个芝麻粒大小
9555,18,你好 请问你们熊主任的微信怎么联系不上呢
9399,2,女宝宝，凸起了，紫红色
10004,2,孩子今天已经19岁了，在食指上
14175,7,五十多岁，女士，脑干部位，当地医生说手术很危险，现在有出血症状，可不可以手术治疗？后果能怎么样？
10307,0,李其航
12454,0,出生十多天
8599,2,红色的不大
8129,0,你是约人的吧
6595,2,孩子，白色
2049,0,李承轩
6975,6,用什么方法治疗
6758,5,毛细血管瘤危害性大吗？
2771,5,不是天生的，后天长的，可能蚊子咬的，一直不下去，就成个红豆了，可能导致血管瘤吗
13087,2,表面和正常皮肤一样的
12969,2,紫色的有黄豆大
9632,2,红色，约两厘米
469,0,出生六七天
5432,2,腿窝上边
7649,2,皮肤表外
14109,0,最近突出欺负了
11588,6,手术吗？还是别的方法
4020,12,我想问下严不严重
9690,2,是皮下的
3905,2,大腿处
5743,0,我没注意长
6381,2,女孩，11岁，左手血管畸形，先天性，最大时有鸡蛋大
2527,1,两个多月吧
7233,2,在大腿内侧。
6439,4,手术费用多少，男正常颜色
5481,1,47岁，发现1个多月
6691,4,你好胳部有血管瘤，治疗需要多少钱
9427,5,会不会扩散
408,11,他是什么原因得的
8347,0,张慧雯
4703,2,屁股那里
12573,2,黄豆大，红色
2302,5,我家孩子就是腋窝前面想了一个东西在皮下摸起来滚动，这两天才发现之前没有，上面有一条血管很清晰也是血管瘤吗？
10243,2,患处是红色
10206,2,高粱米那么大
3546,2,刚开始以为是蛛网膜囊肿
10447,2,太阳穴上方
6348,6,需要怎么治疗？
10688,0,把你们院长电话给我来
7498,16,那什么药物治疗最有效呢
4097,6,两个月的女宝宝后背中间起了血管瘤有什么办法治疗吗？
6551,2,嘴巴上
98,6,咱们有针对婴儿的治疗办法吗？
1757,0,1个月，男孩
9367,3,我加你qq吧
7512,1,检查之前都是在长春做的，手术在北京了，就一次
1963,2,左手第二个手指
8874,2,直径大约3厘米
13665,2,就像红色胎记一样
9341,2,长在肩部
3395,0,在三点一线
1040,8,在沈阳什么地方？？
5150,6,那怎么治疗呢
4712,2,还是有小红点
329,1,现用药观察，一个月后复查
6762,2,胃左右测
4523,2,婴儿在头部
11008,2,宝宝血管瘤长在后背上了
3195,5,我在你们那治两次了还是有些红还用去吗
6200,2,大母手指肚无缘无故出现一个圆圈破损，总是出血，
12990,2,女宝，凸起
4009,2,后面上身也有点
2464,3,不好意思，等孩子回來再加您的微信，我不會加微信。
2031,2,有时候还没有
3357,2,深红色
5247,2,4岁的男宝，长在嘴里
5813,0,黄子涵
8676,0,但是我现在没办法做，因为正在上学
39,2,现在颜色也浅了，跟皮肤一平了
12555,7,那要是手术呢？
6613,0,所以我纠结时间
8028,6,这种情况一般都低怎么做
12985,2,高烧就特别红，
8580,0,刘子垚
789,6,"我想咨询""婴儿血管瘤破了怎么办"""
5959,2,是草莓状血管瘤
3931,2,37岁，肚子和前胸部
13533,6,有什么好方法
5155,2,两个月 在腰部 像小豆粒大小
13724,2,在肩膀
6002,2,两眉毛之间
7310,5,请问宝宝腰部长血管瘤，什么时候，多大去治呢
1709,2,婴儿5个月，手腕上
13514,2,右腋下，和乳房一平
13827,0,脖子那里是淋巴吗
11733,6,汗腺溜怎么治疗
13229,6,嘴唇上有个血管瘤怎么办
261,2,婴儿70多天 长在胸口
4836,0,婴儿的，现在六个月
7928,2,女宝。高出一点点
8954,2,红色，凸起的
1078,2,海绵型
3454,2,小宝宝，长在胳膊上
12865,2,有的也恢复和皮肤一样的颜色了
4654,0,何芊晗
5367,2,宝宝腋下
4290,2,后背和胸前
10781,2,手还有点
5225,2,海绵状血管瘤预部47岁
13540,2,红色，痦子班大
7497,2,宝宝血管瘤 长在阴唇和屁股上
4399,2,颜色和皮肤色没有太大区别
6074,2,成人长脸上
845,1,2年了，长大了
4688,2,刚出生青色现在11天了红色
3746,3,我可以直接和你女儿联系
1106,2,粉色，比头皮高一点
10930,2,2个月的女宝宝，长在脚上，
12500,2,一毛钱硬币那么大
12509,0,麻烦你帮我预约个经验丰富的专家，因为宝宝太小了
8989,1,两三年了
14121,6,那怎么治疗
10406,12,新生儿 毛细血管瘤 用治吗。 可不可以不做 有什么危险发展吗
7714,0,好的，你是哪里医生
944,1,1个月，手腕有小手指盖大小红色，没有就医
6901,11,小时候2发时紧一下小黄豆大现发现变黑为什么
6565,1,男孩在我们这医院检查了说是淋巴管瘤合并出雪
8790,6,怎么治疗好？能根治吗？
3157,2,我家是青色的，用手一嗯就变浅，没有突起
6581,6,那需要怎么治疗
4830,2,一个包子一个包
68,2,有一点红
4667,2,手肘上
9713,1,从小就有
13520,6,对，想咨询也一下，怎么治疗，费用周期啥的！
6264,6,用什么方法
8222,2,红色，鼓起来，像里面有一兜血一样
1919,2,红色，有一点点凸起
5641,3,你多少，我加你
13565,2,2岁半头皮上
1893,0,没有长
4439,2,1个月4天，在右胸部下方
366,2,平的。上边有疙瘩
6556,2,大拇脚趾底部
10444,0,张馨涵
6664,2,大腿两侧
2438,5,这个病属于什么病
10260,1,女，14年发现肿了，
10868,2,满月宝宝，在左侧胳膊上
1419,0,我是脑血栓费者
11296,2,小孩在耳朵里
13746,2,凸起了
8994,1,没有，只是去医院看了下，医生告诉是血管瘤
5772,2,旁边有一块青
442,0,不知道什么时候长的啊
6866,6,不做手术能治疗好吗
1466,2,脑门的是红痦子还是血管瘤
6132,2,黑色的 长在嘴唇里边
14222,2,男性，63岁，在脑血管瘤。谢谢
9254,0,王芊锡
1138,2,0.8毫米深
5887,2,男宝，稍微高出不点
12723,2,一个多月，脖子
7598,21,做完之后孩子可以吃东西吗
6263,0,20个月左右
8489,2,女宝，就像草莓状
1022,8,你们医院在沈阳什么位置
3792,2,成人，肝胆血管瘤
308,6,婴儿血管瘤应该怎么办
8741,2,一岁四个月面颊下面
11359,2,再副部
5007,2,腿上条状东西
9701,1,以前受过外伤
2718,2,不小也不长
57,2,红色的凸出皮肤，皮肤下面有点发青
1204,3,好，我加你可以吗
12741,0,扎针吗
9534,3,刚才你电话呢
11120,5,19岁女孩在髂骨处长了血管瘤怎么办
1903,12,会不会死人
2035,2,长在小腿上女性40岁
14202,2,原来四个多月去过，有青色，现在青色退了
7500,2,大面积是平的，就是有个包状的
1700,2,深红有点
4944,7,手术一次就可以么？术后还需要服药或者其他的么
13504,1,现在发现二年了
11938,1,宝宝20天之前张个红疙瘩
11372,2,用手摸感觉有点像筋包似的
3344,2,在嘴上
10078,12,不治会怎样
12260,12,这个血管瘤不会影响身体健康吧
2733,0,没检查过呢
11769,2,成人胸口
7136,0,谢谢！请问有哪几家做这类手术的医院或主治医生呀？
8749,2,以为是胎记没在意 现在两个多月越来越大
2662,1,刚开始还以为撞哪了，去体检大夫说是血管瘤
9579,4,哦！那看下来的时候多少钱呀
8519,0,刚出生婴儿
14043,2,就是表皮，在胸口位置。
9559,12,这种病会影响生活吗
13398,2,刚出生十天，眼角疑是血管瘤
8246,2,宝宝最近有湿疹
10028,0,这是什么
10731,0,咱们医院在哪里啊
13678,2,成人！腿上！
7297,2,女孩红色
12083,2,长在小腿的前面
10689,2,红色  凸起的
11796,4,大概需要多少费用
10143,2,跟皮肤表面一齐 没有突起
11587,0,怎么联系济南这边
4253,0,噢噢！我是有一年多没来这边了
1820,7,嗯呐，刚做完手术，我想问下手术后吃什么伤口好的快
13216,8,你们位置在哪里医院
575,6,你们怎么治疗？
8977,6,你们医院都有什么治疗啊
4423,2,19岁，在脚背上有两个包
2180,2,脖子左侧
9794,0,这需要手术
1073,2,我现在脸上有当时打针留的疤痕
10681,0,现在做是不是孩子还有点小
3589,2,脸颊部
8145,2,红色鲜红斑痣
1564,0,我抚顺的
869,2,11岁，脸上
9964,2,小女孩16个月左眼下面有一块鲜红斑痣
7543,2,41岁左手中指第二节中间
1594,5,什么是草莓状血管瘤
9478,2,有红色的还有几块青色的
10835,2,小手盖大小
10387,2,红色。平的
6257,2,脚底是皮肤色
4599,1,40岁，近半年左右，开始不明显，现在凸起了
1423,2,在耳朵旁边，脸蛋那
324,2,长在大腿上应该没事吧
8630,0,也挺长的
9258,2,出生时那个地方就是红
5439,6,你们一般是怎么治疗
13068,0,邵馨研
6169,2,左眼太阳穴
14227,2,我也不知道，脸上就是小隔哒，有点痒，个别的定咖了
12821,2,光滑的，0.5cm
11329,2,长在耳后脖子上
6140,2,没有颜色啊，不突出，就是上下滑着摸感觉里面全是个楞个愣的小嘎达
14256,2,女宝宝，后腰，屁股上面，小手盖那么大
10232,0,您是哪个医院的
4930,2,不是外表面
10523,2,腿上长了几个小疙瘩
122,0,就是感冒我才发现的
3725,2,后勃颈
1653,3,加你微信
10392,5,血管瘤吃药能下去吗
698,2,长再脑布
5673,2,正常皮肤
2983,5,血管瘤慢慢长大会好吗 宝宝才六个月
6962,12,对身体有什么危害吗
1119,3,你的多少 我加你
3932,2,女，25，右肩甲骨区
14116,1,男孩，在医院大夫检查过说是血管瘤
12183,0,比刚下生的时候红了，其它的没什么
4183,1,2月   以前去过医院 医生说自己会长好的
5656,7,"我想咨询""血管瘤手术危险吗"""
2263,2,一样，大概有2厘米大小
14127,2,昨天刚出生手轻轻摸上去就是软软的象是有红血丝
2195,5,打针会影响大脑发育吗
13341,6,今年64岁手上得的血管瘤，到医院说的手术，不想手术，有别的什么方法没有
1363,2,红色的包包
11278,2,不确定是不是，女孩。4天的时候看到的那时候就一条线
7475,2,男孩在胸部
3304,18,您是长峰医院的哪位医生呢
6402,2,是先天性的
1636,2,肝血管瘤。肝血管上。
12934,1,检查了说是血管瘤
5042,2,孩子6岁，几个月的时候就有，在后背，是混合型血管瘤，高处皮肤表面
5820,0,您好，假如孩子需要住院的话，孩子在哪里能洗澡么
6186,0,想做下去
8404,2,红色的  微微有一点凸起
1161,8,那您这是哪个医院啊，位置在哪里啊
5741,2,小孩两个多月，脸上
4700,0,5个月多几天
7347,0,今天做的
11094,2,说是病毒感染免疫力低长的
3172,2,有点高于皮肤
1877,2,手腕上都是
13702,0,女性，50多岁
2953,2,红色，有两个小米粒大
1657,0,五十八
1336,6,这个影响大么 怎么治疗
14081,2,感觉比出生时候浅了一点
11709,6,有更好方法和建议吗
13882,5,不到15个月，在腰上，面积不大，就是红。一按就没？是血管溜吗
9866,2,刚开始是平的，这几天高出皮肤了
6684,2,上牙膛
1658,2,就是红两块
1517,3,QQ1442721777微信号
5721,6,老年血管瘤治疗方法有哪些
11462,2,成人，下唇
9903,1,49岁，有10年了
5790,6,想咨询治疗方法
1055,2,肝脏毛血管瘤
7207,2,嘴唇里面有个黑色疙瘩
3291,2,大腿内侧了婴儿
9770,2,后背有一点
4323,5,血管瘤  具体  是个什么病
243,2,2个月在后背
8971,2,加一起能有手掌大小
1822,2,红色的凸起，几个小米粒大小。面积有小手指甲大
8337,3,你留电话给我吧，我给你打电话
8373,0,她说她不熟悉我妈情况，让我联系你们
9988,2,下耳垂里面
10291,0,没有，医生也只是怀疑
75,2,面积大
11779,2,是深红色
7978,2,在胸椎
5257,2,宝宝后背
11522,0,哦！我在外地过几天到家了就发吧
11049,2,长在左手大母子和十子之间
2812,0,男孩8个月
377,2,突起的，女宝
10122,4,院长多少钱啊
5654,9,这个需要做什么检查吗？
12631,2,按压泛白，松手变红，无突出
6339,2,我家孩子后背长了血管流。
1506,0,说不长痘
170,1,女孩，3岁了之前去医院看过，但是还是太小没治疗，
1778,2,18岁下嘴唇
132,4,怎样治疗，大约费用多少
8610,0,孩子刚出生
11904,2,在眼睛旁边
11214,2,起的红血丝似的，按压会退色
13583,2,发青的颜色
6542,3,加微信了么
11260,2,疙瘩不大
898,2,胳膊上还有前胸
1869,2,手指盖大小
6671,0,02464653108是你们医院电话
12856,3,给个电话，我打过去
13041,2,右眼睛下面 眼窝
10049,3,我加你了你添加一下
9576,0,几天完事
8940,2,三个月宝宝先天性大腿内侧
9499,6,我想质询一下最好的质量方法
3184,2,像烫伤似的
2974,2,刚出生眼皮上就有一块红色斑
11590,16,老人，85岁脑血管瘤，血压还高，可以吃安宫牛黄丸吗
6772,2,腰间盘
4651,3,你加我吗  现在
5189,2,大人，长在盰上
1710,2,经常出血
5135,6,血管瘤怎么办
13822,2,刚满月，红色
5505,2,表皮层下面血管的颜色
3312,1,以前去过医大二院
14156,0,你们主要做什么科目
3859,2,女手掌大
6031,2,红色的周围有细细的血管
679,1,发现1年
8117,2,现在可能是痒，他有时候老去抓
1049,0,张树民
1608,2,拇指手肚那么大吧
14297,2,左脚脖子外侧内窝里面
10625,4,微创多少钱
6016,2,52天婴儿手掌有一块血管瘤
10081,1,发现三个多月
2062,5,意思就是血管瘤被？
1342,2,面积是半个后手指
10770,0,新生儿。
5339,0,肖慧旭
1960,2,像红色胎记
3752,0,我没主意啊
305,3,你微信号是多号
6553,1,十三岁，去年十月发现的
12615,2,两个月宝宝 在胳膊上 红色的
8904,1,出生就有，刚6个月
2340,2,能有火柴头大小在舌苔后半部左侧表面
7940,2,成人  耳朵前面
6766,2,成人在右侧
13751,1,1个月，在左腋下
1614,2,不大就是一点
1643,6,什么样是最佳的治疗方法
4572,2,今年40了是女性长在脖子后面
5370,2,紫蓝色
5687,2,高于正常皮肤，有暗红色和鲜红色的两种
9461,0,不能 我找个手机
8460,2,小鸡儿下面睾丸上
2955,2,两厘米长方形
1071,0,才生十天
13777,2,不确定是不是 长在前额头上 感觉像是没发育好
